project_name,class_name,num_lines,num_statements,num_branches
1_tullibee,com.ib.client.ExecutionFilter,20,97,20
1_tullibee,com.ib.client.ComboLeg,23,106,21
10_water-simulator,simulator.CA.gui.ConsumerGUI,163,888,59
10_water-simulator,simulator.CA.ConsumerAgent,301,1436,137
100_jgaap,jgaapGUI,237,1245,23
101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,70,320,73
101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,56,249,69
102_squirrel-sql,net.sourceforge.squirrel_sql.client.preferences.GlobalPreferencesSheet,149,677,51
102_squirrel-sql,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,31,130,21
103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,928,3368,618
103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController,283,936,154
103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,374,841,228
103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,360,2509,353
104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,154,657,119
104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,196,675,134
105_freemind,freemind.extensions.ExportHook,76,434,29
105_freemind,accessories.plugins.time.JDayChooser,400,1621,208
107_weka,weka.core.Memory,48,274,29
107_weka,weka.classifiers.Evaluation,1378,7809,809
107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,188,1265,267
107_weka,weka.core.FindWithCapabilities,387,1745,247
108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,81,406,93
108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,128,462,78
109_pdfsam,jcmdline.HelpCmdLineHandler,56,378,41
109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,50,238,17
11_imsmart,com.imsmart.servlet.HTMLFilter,18,69,15
110_firebird,org.firebirdsql.gds.impl.wire.AbstractJavaGDSImpl,1717,6591,1040
110_firebird,org.firebirdsql.jdbc.FBProcedureCall,117,581,98
110_firebird,org.firebirdsql.encodings.EncodingFactory,242,922,195
12_dsachat,dsachat.server.Handler,186,904,98
12_dsachat,dsachat.client.gui.InternalChatFrame,189,857,69
13_jdbacl,org.databene.jdbacl.SQLUtil,251,1339,188
13_jdbacl,org.databene.jdbacl.DBUtil,324,1611,197
14_omjstate,uk.me.jockmacmad.jstate.state.Transition,36,139,30
15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,61,355,47
15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,52,242,41
17_inspirento,com.allenstudio.ir.util.XmlElement,156,649,95
17_inspirento,com.allenstudio.ir.ui.MainMenu,54,327,27
18_jsecurity,org.jsecurity.web.filter.authc.BasicHttpAuthenticationFilter,51,207,36
18_jsecurity,org.jsecurity.web.DefaultWebSecurityManager,97,400,67
18_jsecurity,org.jsecurity.util.AntPathMatcher,172,725,170
19_jmca,com.soops.CEN4010.JMCA.JParser.JavaCharStream,239,1279,216
19_jmca,com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,981,4678,1707
19_jmca,com.soops.CEN4010.JMCA.JParser.JavaParser,4940,16624,7938
19_jmca,com.soops.CEN4010.JMCA.JMCAAnalyzer,222,966,199
2_a4j,net.kencochrane.a4j.DAO.Product,62,231,31
2_a4j,net.kencochrane.a4j.file.FileUtil,357,2038,125
21_geo-google,geo.google.datamodel.GeoStatusCode,18,44,23
21_geo-google,geo.google.mapping.AddressToUsAddressFunctor,37,147,30
22_byuic,com.yahoo.platform.yui.compressor.ScriptOrFnScope,79,296,39
22_byuic,com.yahoo.platform.yui.compressor.YUICompressor,127,529,87
22_byuic,com.yahoo.platform.yui.compressor.JavaScriptCompressor,475,2481,561
22_byuic,org.mozilla.javascript.Parser,1211,4820,735
23_jwbf,net.sourceforge.jwbf.mediawiki.actions.editing.MovePage,64,399,52
23_jwbf,net.sourceforge.jwbf.mediawiki.actions.queries.TemplateUserTitles,39,225,45
24_saxpath,org.saxpath.Axis,43,115,55
24_saxpath,com.werken.saxpath.XPathLexer,250,1034,484
26_jipa,jipa.Main,161,783,134
26_jipa,jipa.Variable,37,124,23
27_gangup,gui.AudioManager,89,438,32
29_apbsmem,apbs_mem_gui.Main,815,4323,388
29_apbsmem,jahuwaldt.plot.PlotAxis,88,283,41
30_bpmail,ch.bluepenguin.email.client.tapestry.MessageList,44,215,27
31_xisemele,net.sf.xisemele.impl.OperationsHelperImpl,31,152,27
32_httpanalyzer,httpanalyzer.HttpAnalyzerView,960,4992,200
32_httpanalyzer,httpanalyzer.Password,120,656,56
33_javaviewcontrol,com.pmdesigns.jvc.tools.TokenMgrError,35,179,32
33_javaviewcontrol,com.pmdesigns.jvc.tools.JVCParser,355,1772,223
33_javaviewcontrol,com.pmdesigns.jvc.tools.JVCParserTokenManager,1350,7180,2380
35_corina,corina.formats.TucsonSimple,55,282,55
36_schemaspy,net.sourceforge.schemaspy.model.xml.TableMeta,27,140,17
36_schemaspy,net.sourceforge.schemaspy.model.Table,438,2241,380
37_petsoar,org.petsoar.order.CreditCardInfo,14,61,16
37_petsoar,org.petsoar.search.lucene.DefaultLuceneDocumentFactory,94,303,47
38_javabullboard,framework.util.StringUtils,148,715,98
38_javabullboard,framework.util.jdbc.JDBCUtils,214,1170,141
39_diffi,de.beiri22.stringincrementor.helper.IndexedString,30,152,20
39_diffi,de.beiri22.stringincrementor.StringIncrementor,57,344,35
4_rif,com.densebrain.rif.server.transport.WebServiceDescriptor,31,94,21
40_glengineer,glengineer.blocks.Block,42,325,23
40_glengineer,glengineer.agents.GroupAgent,157,658,115
41_follow,ghm.follow.gui.TabbedPane,31,108,20
41_follow,ghm.follow.search.SearchableTextPane,81,321,35
42_asphodel,org.asphodel.DefaultRepositoryManager,73,353,42
43_lilith,de.huxhorn.lilith.data.access.AccessEvent,86,496,134
44_summa,org.apache.lucene.search.exposed.compare.NamedCollatorComparator,42,185,30
44_summa,org.apache.lucene.search.exposed.ExposedTimSort,376,1906,372
44_summa,dk.statsbiblioteket.summa.storage.database.StatementHandler,84,682,108
44_summa,dk.statsbiblioteket.summa.support.harmonise.InteractionAdjuster,373,2114,279
45_lotus,lotus.core.phases.Phase,21,125,28
45_lotus,lotus.core.Game,30,122,24
46_nutzenportfolio,ch.bfh.egov.nutzenportfolio.common.AuswertungGrafik,97,817,21
46_nutzenportfolio,ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService,174,895,48
47_dvd-homevideo,Capture,148,947,29
47_dvd-homevideo,Convert,223,1386,52
47_dvd-homevideo,Menu,185,1231,84
48_resources4j,com.mytdev.resources4j.impl.AbstractResources,289,1539,176
49_diebierse,bierse.model.Drink,220,1022,81
49_diebierse,bierse.controller.DefaultSettingsController,52,250,27
5_templateit,org.templateit.Region,15,123,31
5_templateit,org.templateit.WorkbookParser,77,394,54
50_biff,Scanner,1391,7012,817
51_jiprof,com.mentorgen.tools.profile.runtime.Profile,166,694,76
51_jiprof,org.objectweb.asm.jip.commons.LocalVariablesSorter,110,430,87
51_jiprof,org.objectweb.asm.jip.MethodWriter,1084,5299,824
51_jiprof,org.objectweb.asm.jip.ClassReader,891,4026,817
52_lagoon,nu.staldal.lagoon.LagoonGUI,195,1007,63
52_lagoon,nu.staldal.lagoon.LagoonCLI,144,675,65
54_db-everywhere,com.gbshape.dbe.utils.DBEHelper,303,1547,123
54_db-everywhere,com.gbshape.dbe.sapdb.SapdbTableList,26,79,15
55_lavalamp,net.sf.lavalamp.device.TimeOfDay,28,122,18
56_jhandballmoves,visu.handball.moves.actions.CreateMovePdfAction,44,234,26
56_jhandballmoves,visu.handball.moves.xml.HandballModelReader,93,380,31
57_hft-bomberman,client.network.ForwardingObserver,29,134,13
57_hft-bomberman,server.ServerGameModel,139,849,128
58_fps370,fps370.Fps370Panel,412,1973,151
58_fps370,teder.TederFrame,186,668,70
59_mygrid,mygrid.web._Fail,28,113,28
59_mygrid,mygrid.web._AvailableJobsResponse,28,113,28
60_sugar,net.sf.sugar.fspath.FSPathResult,37,113,24
60_sugar,net.sf.sugar.fspath.cli.FSPathExplorer,75,484,51
61_noen,fi.vtt.noen.testgen.observations.formatter.DaikonFormatter,113,597,71
61_noen,fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,40,316,67
63_objectexplorer,de.paragon.explorer.event.ExplorerFrameEventConverter,240,987,175
63_objectexplorer,de.paragon.explorer.model.AttributeModelComparator,12,47,17
64_jtailgui,fr.pingtimeout.jtail.gui.action.IndexFileAction,40,158,13
64_jtailgui,fr.pingtimeout.jtail.gui.view.JTailPanel,65,331,23
65_gsftp,com.gotoservers.ftp.FtpApplet,48,191,29
65_gsftp,mindbright.ssh.SSHSCPGUIThread,253,1110,91
66_openjms,org.exolab.jms.net.connector.DefaultConnectionPool,214,891,99
66_openjms,org.exolab.jms.net.socket.SocketRequestInfo,54,190,34
68_biblestudy,bible.obj.Verse,79,483,32
68_biblestudy,bible.util.Queue,62,280,37
69_lhamacaw,macaw.util.DisplayableListPanel,203,714,70
69_lhamacaw,macaw.presentationLayer.MacawWorkBench,112,416,23
7_sfmis,com.hf.sfm.crypt.Base64,75,437,32
71_ext4j,net.sourceforge.ext4j.log.log4j.ExtrasPatternParser,14,69,11
71_ext4j,net.sourceforge.ext4j.taglib.bo.Request,154,857,139
72_battlecry,bcry.bcGenerator,284,2306,281
72_battlecry,bcry.battlecryGUI,312,1588,78
73_fim1,osa.ora.server.admin.ui.UpdateUserPanel,223,1140,73
73_fim1,osa.ora.server.client.ui.utils.FontChooserDialog,61,170,25
74_fixsuite,org.fixsuite.message.Library,51,335,35
74_fixsuite,org.fixsuite.message.view.TreeView,155,631,72
75_openhre,com.browsersoft.aacs.User,192,934,97
75_openhre,com.browsersoft.openhre.hl7.impl.regular.ExpressionImpl,62,220,50
77_io-project,ioproject.server.network.ClientGroup,53,282,66
78_caloriecount,com.lts.event.SimpleKeyListenerHelper,23,58,25
78_caloriecount,com.lts.swing.combobox.SimpleComboBox,43,142,26
78_caloriecount,com.lts.io.DirectoryScanner,307,1425,232
79_twfbplayer,de.outstare.fortbattleplayer.statistics.BattleStatistics,236,1255,156
79_twfbplayer,de.outstare.fortbattleplayer.model.impl.SimpleSector,105,424,74
8_gfarcegestionfa,fr.unice.gfarce.dao.OracleIdentiteDao,111,487,76
8_gfarcegestionfa,fr.unice.gfarce.interGraph.ModifTableStockage,184,1150,123
80_wheelwebtool,wheel.util.DynamicSelectModel,75,388,40
80_wheelwebtool,wheel.asm.FieldWriter,85,371,58
80_wheelwebtool,wheel.asm.ClassReader,868,3944,817
80_wheelwebtool,wheel.asm.ClassWriter,345,1691,174
81_javathena,org.javathena.login.parse.FromClient,60,197,49
81_javathena,org.javathena.login.UserManagement,711,4287,329
81_javathena,org.javathena.login.Login,433,2278,255
81_javathena,org.javathena.utiles.ConfigurationManagement,237,1228,190
82_ipcalculator,ipac.BinaryCalculate,243,1428,103
82_ipcalculator,ipac.WhoIS,229,1077,55
83_xbus,net.sf.xbus.base.core.MessageHandler,71,269,27
83_xbus,net.sf.xbus.base.core.reflection.XBUSClassLoader,29,170,17
84_ifx-framework,org.sourceforge.ifx.basetypes.IFXObject,94,462,72
85_shop,umd.cs.shop.JSState,80,316,41
85_shop,umd.cs.shop.JSPredicateForm,165,706,87
85_shop,umd.cs.shop.JSTerm,318,1329,192
85_shop,umd.cs.shop.JSJshop,225,961,114
86_at-robots2-j,net.virtualinfinity.atrobots.gui.renderers.RobotRenderer,83,512,37
86_at-robots2-j,net.virtualinfinity.atrobots.robot.Robot,212,832,123
87_jaw-br,jaw.entrada.Salvar,61,269,46
87_jaw-br,jaw.entrada.Abrir,50,196,26
88_jopenchart,de.progra.charting.DefaultChart,50,241,20
88_jopenchart,de.progra.charting.CoordSystemUtilities,196,1139,92
89_jiggler,jigl.image.ops.levelOps.Clip,67,459,33
89_jiggler,jigl.image.ops.Shift,57,462,56
89_jiggler,jigl.image.ops.ConnectedComponents,75,468,74
89_jiggler,jigl.image.levelSetTool.LevelSetNudge,162,1205,118
90_dcparseargs,de.devcity.parseargs.ArgsParser,83,571,80
91_classviewer,com.jstevh.viewer.ClassViewer,599,2315,235
91_classviewer,com.jstevh.viewer.SAXDirParser,87,327,60
91_classviewer,com.jstevh.viewer.ClassInfo,209,1016,168
92_jcvi-javacommon,org.jcvi.jillion.assembly.consed.phd.DefaultPhdReadTag,61,240,61
92_jcvi-javacommon,org.jcvi.jillion.assembly.ca.frg.Distance,51,232,28
93_quickserver,org.quickserver.net.server.impl.BlockingClientHandler,327,1744,228
93_quickserver,org.quickserver.net.server.impl.NonBlockingClientHandler,723,3697,501
93_quickserver,org.quickserver.util.xmlreader.QuickServerConfig,96,748,69
93_quickserver,org.quickserver.net.client.monitoring.HostMonitoringService,131,488,74
94_jclo,edu.mscd.cs.jclo.JCLO,183,987,133
95_celwars2009,MP3,30,135,11
95_celwars2009,Client,836,2139,350
96_heal,org.heal.util.InterfaceUtilitiesBean,99,373,38
96_heal,org.heal.module.search.AdvSearchDAO,266,1863,175
97_feudalismgame,src.VassalRebellion,16,104,11
97_feudalismgame,src.Purchase,73,411,56
97_feudalismgame,src.Battle,730,4873,788
98_trans-locator,Joshua.FoxHunt.FoxHuntFrame,127,551,34
98_trans-locator,Joshua.FoxHunt.HuntDisplay,50,297,23
99_newzgrabber,Newzgrabber.BatchDriver,90,404,32
99_newzgrabber,Newzgrabber.Newzgrabber,222,963,78
99_newzgrabber,Newzgrabber.Downloader,339,1552,268
checkstyle,com.puppycrawl.tools.checkstyle.api.AbstractLoader,27,92,9
checkstyle,com.puppycrawl.tools.checkstyle.api.AutomaticBean,76,395,18
checkstyle,com.puppycrawl.tools.checkstyle.api.FileContents,79,412,50
checkstyle,com.puppycrawl.tools.checkstyle.api.FileText,82,350,26
checkstyle,com.puppycrawl.tools.checkstyle.utils.AnnotationUtility,32,177,28
checkstyle,com.puppycrawl.tools.checkstyle.utils.ScopeUtils,92,341,110
commons-cli,org.apache.commons.cli.HelpFormatter,198,916,144
commons-cli,org.apache.commons.cli.Option,110,505,98
commons-codec,org.apache.commons.codec.language.DoubleMetaphone,404,2979,498
commons-collections,org.apache.commons.collections.primitives.ArrayByteList,66,316,28
commons-collections,org.apache.commons.collections4.list.TreeList,359,276,219
commons-collections,org.apache.commons.collections4.sequence.SequencesComparator,82,576,89
commons-lang,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,39,216,48
commons-lang,org.apache.commons.lang3.ClassUtils,279,1117,266
commons-lang,org.apache.commons.lang3.ArrayUtils,1263,5348,1163
commons-lang,org.apache.commons.lang3.text.ExtendedMessageFormat,183,841,138
commons-lang,org.apache.commons.lang3.text.StrBuilder,747,3251,589
commons-lang,org.apache.commons.lang3.time.FastDateFormat,45,272,40
commons-lang,org.apache.commons.lang3.LocaleUtils,81,577,99
commons-lang,org.apache.commons.lang3.time.DurationFormatUtils,239,878,159
commons-lang,org.apache.commons.lang3.time.DateUtils,299,1633,298
commons-lang,org.apache.commons.lang3.BooleanUtils,187,980,265
commons-lang,org.apache.commons.lang3.builder.CompareToBuilder,253,1070,249
commons-lang,org.apache.commons.lang3.Validate,138,1130,134
commons-lang,org.apache.commons.lang3.Conversion,521,3458,764
commons-lang,org.apache.commons.lang3.builder.HashCodeBuilder,148,836,116
commons-math,org.apache.commons.math3.fraction.ProperFractionFormat,63,228,26
commons-math,org.apache.commons.math3.optimization.direct.CMAESOptimizer,460,2720,266
commons-math,org.apache.commons.math3.distribution.HypergeometricDistribution,66,367,38
commons-math,org.apache.commons.math3.linear.RectangularCholeskyDecomposition,56,330,31
commons-math,org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator,108,630,62
commons-math,org.apache.commons.math3.ode.AbstractIntegrator,124,605,82
commons-math,org.apache.commons.math3.geometry.euclidean.threed.Rotation,316,3184,123
commons-math,org.apache.commons.math3.util.MultidimensionalCounter,68,261,41
commons-math,org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,371,2162,207
commons-math,org.apache.commons.math3.optimization.linear.SimplexTableau,167,1077,149
commons-math,org.apache.commons.math3.fraction.Fraction,155,845,114
commons-math,org.apache.commons.math3.util.MathUtils,40,220,66
commons-math,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,102,1350,80
commons-math,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex,87,485,59
commons-math,org.apache.commons.math3.linear.MatrixUtils,253,1268,159
commons-math,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet,66,388,52
commons-math,org.apache.commons.math3.dfp.DfpDec,134,704,138
commons-math,org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,119,661,66
commons-math,org.apache.commons.math3.analysis.FunctionUtils,214,165,157
commons-math,org.apache.commons.math3.optim.univariate.BrentOptimizer,113,484,75
commons-math,org.apache.commons.math3.linear.SchurTransformer,189,1436,92
compiler,com.google.javascript.jscomp.CheckGlobalThis,56,202,73
compiler,com.google.javascript.jscomp.ExploitAssigns,80,262,87
compiler,com.google.javascript.jscomp.CollapseProperties,365,1424,273
compiler,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,741,2609,615
compiler,com.google.javascript.jscomp.ControlFlowAnalysis,402,1560,413
compiler,com.google.javascript.jscomp.ScopedAliases,197,121,140
compiler,com.google.javascript.rhino.jstype.RecordType,107,459,79
compiler,com.google.javascript.jscomp.parsing.JsDocInfoParser,1042,3734,757
compiler,com.google.javascript.jscomp.ReferenceCollectingCallback,204,229,196
guava,com.google.common.math.BigIntegerMath,139,709,133
guava,com.google.common.cache.CacheBuilderSpec,142,400,141
guava,com.google.common.util.concurrent.Monitor,248,1048,191
guava,com.google.common.base.Joiner,94,189,60
guava,com.google.common.base.Predicates,140,156,107
guava,com.google.common.base.SmallCharMatcher,46,210,27
guava,com.google.common.base.Splitter,111,212,86
guava,com.google.common.base.Suppliers,71,52,45
guava,com.google.common.base.Utf8,57,296,63
guava,com.google.common.base.Objects,52,46,37
guava,com.google.common.base.CharMatcher,347,1034,325
hibernate,org.hibernate.search.util.logging.impl.LoggerFactory,9,62,3
javaml,net.sf.javaml.core.AbstractInstance,65,365,38
javaml,net.sf.javaml.core.Complex,33,192,12
javaml,net.sf.javaml.core.DefaultDataset,95,400,52
javaml,net.sf.javaml.core.DenseInstance,76,380,49
javaml,net.sf.javaml.core.Fold,61,214,48
javaml,net.sf.javaml.core.SparseInstance,104,448,56
javaml,net.sf.javaml.tools.data.ARFFHandler,29,117,16
javex,org.javex.Expression,225,1023,173
jdom,org.jdom2.util.NamespaceStack,140,583,84
jdom,org.jdom2.transform.JDOMResult,123,168,50
jdom,org.jdom2.output.SAXOutputter,138,510,90
jdom,org.jdom2.output.XMLOutputter,164,581,62
jdom,org.jdom2.Verifier,236,1152,277
jfree-chart,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,422,1652,216
jfree-chart,org.jfree.data.category.DefaultIntervalCategoryDataset,143,767,103
jfree-chart,org.jfree.chart.plot.MultiplePiePlot,182,760,93
jfree-chart,org.jfree.data.time.TimeSeries,271,1251,157
jfree-chart,org.jfree.data.general.DatasetUtilities,507,2252,335
jfree-chart,org.jfree.chart.plot.ValueMarker,22,74,13
jfree-chart,org.jfree.chart.renderer.category.MinMaxCategoryRenderer,129,570,60
jfree-chart,org.jfree.chart.renderer.GrayPaintScale,25,107,15
jfree-chart,org.jfree.chart.renderer.category.StatisticalBarRenderer,160,769,79
jfree-chart,org.jfree.chart.axis.Axis,286,1251,156
jfree-chart,org.jfree.chart.plot.XYPlot,1353,5739,822
jfree-chart,org.jfree.data.time.TimePeriodValues,149,604,74
joda,org.joda.time.base.BaseSingleFieldPeriod,69,366,53
joda,org.joda.time.tz.ZoneInfoCompiler,382,1227,232
joda,org.joda.time.format.PeriodFormatterBuilder,665,860,579
joda,org.joda.time.format.DateTimeFormatterBuilder,1026,1057,746
joda,org.joda.time.DateTimeZone,349,1425,205
joda,org.joda.time.MutableDateTime,237,955,140
joda,org.joda.time.Partial,249,1206,134
joda,org.joda.time.Period,281,1851,129
joda,org.joda.time.format.DateTimeFormatter,208,1009,113
joda,org.joda.time.base.BasePeriod,173,819,79
joda,org.joda.time.chrono.BasicMonthOfYearDateTimeField,110,618,63
joda,org.joda.time.chrono.LimitChronology,236,663,112
joda,org.joda.time.MutablePeriod,147,559,76
jsci,JSci.maths.symbolic.SimpleCharStream,174,760,84
jsci,JSci.maths.symbolic.ExpressionParser,565,2650,435
jsci,JSci.maths.SpecialMath,321,2160,196
jsci,JSci.maths.LinearMath,584,3925,280
scribe,org.scribe.model.OAuthConfig,15,60,12
scribe,org.scribe.model.OAuthRequest,10,75,8
scribe,org.scribe.model.Request,73,355,37
scribe,org.scribe.model.Response,21,109,15
scribe,org.scribe.model.Token,13,63,7
scribe,org.scribe.model.Verifier,5,14,2
tartarus,org.tartarus.snowball.ext.turkishStemmer,1008,3775,514
tartarus,org.tartarus.snowball.ext.italianStemmer,358,1164,228
tartarus,org.tartarus.snowball.ext.englishStemmer,417,1343,290
trove,gnu.trove.decorator.TDoubleShortMapDecorator,90,232,77
trove,gnu.trove.decorator.TShortByteMapDecorator,90,232,77
trove,gnu.trove.impl.hash.TCharHash,96,378,60
trove,gnu.trove.impl.hash.TFloatCharHash,142,555,87
trove,gnu.trove.impl.hash.TFloatDoubleHash,142,555,87
trove,gnu.trove.impl.hash.TShortHash,96,378,60
trove,gnu.trove.list.linked.TDoubleLinkedList,466,1842,281
trove,gnu.trove.map.hash.TFloatObjectHashMap,384,851,254
trove,gnu.trove.map.hash.TByteObjectHashMap,384,851,254
trove,gnu.trove.map.hash.TByteFloatHashMap,476,958,297
twitter4j,twitter4j.ExceptionDiagnosis,37,235,27
twitter4j,twitter4j.GeoQuery,76,380,65
twitter4j,twitter4j.Paging,104,540,54
twitter4j,twitter4j.TwitterException,129,585,123
twitter4j,twitter4j.TwitterBaseImpl,198,918,131
twitter4j,twitter4j.OEmbedRequest,81,468,69
twitter4j,twitter4j.TwitterImpl,442,6320,319
wikipedia,de.tudarmstadt.ukp.wikipedia.api.Title,41,194,19
wikipedia,de.tudarmstadt.ukp.wikipedia.api.CategoryDescendantsIterator,54,61,27
wikipedia,de.tudarmstadt.ukp.wikipedia.api.WikipediaInfo,155,796,72
wikipedia,de.tudarmstadt.ukp.wikipedia.api.CycleHandler,43,249,21
xmlenc,org.znerd.xmlenc.XMLChecker,102,2184,1213
xmlenc,org.znerd.xmlenc.XMLEncoder,119,693,182
